geo,country_name,time,sex,age,indicator_code,indicator_label,value,unit,data_suppressed,source_dataset
RS,Serbia,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,10.7,PC,False,hlth_ehis_pe3
SE,Sweden,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,71.6,PC,False,hlth_ehis_pe3
SE,Sweden,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,75.7,PC,False,hlth_ehis_pe3
SI,Slovenia,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,52.2,PC,False,hlth_ehis_pe3
SI,Slovenia,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,53.2,PC,False,hlth_ehis_pe3
SK,Slovakia,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,30.2,PC,False,hlth_ehis_pe3
SK,Slovakia,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,28.9,PC,False,hlth_ehis_pe3
TR,Türkiye,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,4.8,PC,False,hlth_ehis_pe3
TR,Türkiye,2019,F,TOTAL,MV_AERO_SPRT,Aerobic sports,5.1,PC,False,hlth_ehis_pe3
UK,United Kingdom,2014,F,TOTAL,MV_AERO_SPRT,Aerobic sports,54.8,PC,False,hlth_ehis_pe3
AT,Austria,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,84.0,PC,False,hlth_ehis_pe3
AT,Austria,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,86.0,PC,False,hlth_ehis_pe3
BE,Belgium,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,80.3,PC,False,hlth_ehis_pe3
BE,Belgium,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,49.5,PC,False,hlth_ehis_pe3
BG,Bulgaria,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,36.0,PC,False,hlth_ehis_pe3
BG,Bulgaria,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,27.0,PC,False,hlth_ehis_pe3
CY,Cyprus,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,40.0,PC,False,hlth_ehis_pe3
CY,Cyprus,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,21.8,PC,False,hlth_ehis_pe3
CZ,Czechia,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,68.3,PC,False,hlth_ehis_pe3
CZ,Czechia,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,70.0,PC,False,hlth_ehis_pe3
DE,Germany,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,82.1,PC,False,hlth_ehis_pe3
